96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
81324-6;108131;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Schwangerschaft IVF;88
81324-6;108132;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Schwangerschaft an;91
81324-6;108161;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Medikamente Schwangerschaft Text;64
81324-6;108162;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Probleme Schwangerschaft Text;68
14723-1;104833;Ferritin Serum Plasma;Apherese Plasma;61
14723-1;104834;Ferritin Serum Plasma;Apherese Plasma;61
14723-1;104846;Ferritin Serum Plasma;Apherese Plasma;61
15110-0;104833;Morphium Serum Plasma;Apherese Plasma;61
15110-0;104834;Morphium Serum Plasma;Apherese Plasma;61
15110-0;104846;Morphium Serum Plasma;Apherese Plasma;61
306-1;107861;Loracarbef minimaler letaler Konzentration (MLK);O2 Konzentration;90
306-1;107864;Loracarbef minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
306-1;107867;Loracarbef minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
12619-3;108510;Glucose Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
212-1;107861;Cycloserin minimaler letaler Konzentration (MLK);O2 Konzentration;90
212-1;107864;Cycloserin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
212-1;107867;Cycloserin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
57840-1;102755;Eosinophile/100 Leukozyten Dialysat manueller Zählung;Dialysat;100
57840-1;103043;Eosinophile/100 Leukozyten Dialysat manueller Zählung;Dialysat;100
57840-1;103045;Eosinophile/100 Leukozyten Dialysat manueller Zählung;BM25 Dialysat;76
57840-1;103123;Eosinophile/100 Leukozyten Dialysat manueller Zählung;Dialysat;100
57840-1;103124;Eosinophile/100 Leukozyten Dialysat manueller Zählung;BM25 Dialysat;76
57840-1;104978;Eosinophile/100 Leukozyten Dialysat manueller Zählung;CRRT Dialysat;76
57840-1;104999;Eosinophile/100 Leukozyten Dialysat manueller Zählung;CRRT Dialysat;76
30304-0;100813;Adefovir;Atemform;62
30304-0;102156;Adefovir;Atemform;62
25659-4;108510;Gastrin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17029-0;108158;Isoleucin Urin;Insulin nein;62
19072-8;102721;Calcium.ionisiert pH ,4 Serum Plasma;Calcium;100
19072-8;102743;Calcium.ionisiert pH ,4 Serum Plasma;Calcium;100
19072-8;103054;Calcium.ionisiert pH ,4 Serum Plasma;Calcium;100
48685-2;108100;Para-Aminosalicylat /mL Methode langsam wachsende Mykobakterien;Para;100
2791-2;108279;Phosphofructokinase Blut;Fruchtwasser blutig;60
2636-9;108158;Mianserin Urin;Insulin nein;62
228-7;107861;Enoxacin minimaler letaler Konzentration (MLK);O2 Konzentration;90
228-7;107864;Enoxacin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
228-7;107867;Enoxacin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
68929-9;102107;Zytokeratin Perikardflüssigkeit;PatFluessigkeitRate;61
14586-2;104833;Aldosteron Serum Plasma;Apherese Plasma;63
14586-2;104834;Aldosteron Serum Plasma;Apherese Plasma;63
14586-2;104846;Aldosteron Serum Plasma;Apherese Plasma;63
34601-5;144;Medikamente identifiziert Körperflüssigkeit;Medikamente gestellt;71
74117-3;103069;Adalimumab Serum Plasma;ADM Plasmavolumen;60
74117-3;103085;Adalimumab Serum Plasma;ADM Plasmavolumen;60
40254-5;108510;Creatinin Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
56700-8;104276;Naproxen IgE-Antikörper Serum;Servoi Insp Anstiegszeit Prozent;60
50753-3;108157;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
50753-3;108158;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
25578-6;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
4222-6;101483;Digoxin Dosis;Diagnostik;61
4222-6;103752;Digoxin Dosis;Diagnostik;61
18484-6;103707;Ku Antikörper Serum;Antikoerper;62
18484-6;104679;Ku Antikörper Serum;Antikoerper;62
18484-6;108675;Ku Antikörper Serum;P Antikoerper Mutter;68
87-7;107861;Cefmetazol minimaler letaler Konzentration (MLK);O2 Konzentration;90
87-7;107864;Cefmetazol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
87-7;107867;Cefmetazol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
9700-6;102585;Procain Serum Plasma;Plasmarate;60
9700-6;104833;Procain Serum Plasma;Apherese Plasma;63
9700-6;104834;Procain Serum Plasma;Apherese Plasma;63
9700-6;104846;Procain Serum Plasma;Apherese Plasma;63
15181-1;102699;IgA Körperflüssigkeit;Dialysierfluessigke;63
168-5;107861;Cephradin minimaler letaler Konzentration (MLK);O2 Konzentration;90
168-5;107864;Cephradin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
168-5;107867;Cephradin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
47762-0;108157;Somatotropin Serum Plasma Stunde Dosis Insulin intravenös;Insulin ja;82
47762-0;108158;Somatotropin Serum Plasma Stunde Dosis Insulin intravenös;Insulin nein;74
2828-2;101389;Kalium Urin;KaliumZiel;67
2828-2;102481;Kalium Urin;KaliumZiel;67
2828-2;102482;Kalium Urin;KaliumZiel;67
17813-7;106365;Alpha-2-Globulin/Protein. Elektrophorese Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
17813-7;106366;Alpha-2-Globulin/Protein. Elektrophorese Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
17813-7;110899;Alpha-2-Globulin/Protein. Elektrophorese Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
17813-7;110900;Alpha-2-Globulin/Protein. Elektrophorese Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
2591-6;104833;Makroamylase Serum Plasma;Apherese Plasma;60
2591-6;104834;Makroamylase Serum Plasma;Apherese Plasma;60
2591-6;104846;Makroamylase Serum Plasma;Apherese Plasma;60
82752-7;102652;Reisestartdatum;StartNatrium;67
82752-7;102681;Reisestartdatum;StartNatrium;67
82752-7;102726;Reisestartdatum;Mess StartNatrium;69
82752-7;103222;Reisestartdatum;StartNatrium;67
82752-7;103241;Reisestartdatum;StartNatrium;67
82752-7;103253;Reisestartdatum;StartNatrium;67
22440-2;108675;Pasteurella multocida Antikörper Serum;P Antikoerper Mutter;60
8075-4;108157;Porcines Insulin Antikörper Serum;Insulin ja;82
8075-4;108158;Porcines Insulin Antikörper Serum;Insulin nein;74
20638-3;104833;Aspargin Serum Plasma;Apherese Plasma;67
20638-3;104834;Aspargin Serum Plasma;Apherese Plasma;67
20638-3;104846;Aspargin Serum Plasma;Apherese Plasma;67
19230-2;102597;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;102639;Bicarbonat Standard arteriellem Blut;Mess Bicarbonat;80
19230-2;102677;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;103160;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;103191;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;103227;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;103243;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;104881;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;104897;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;104922;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;104937;Bicarbonat Standard arteriellem Blut;Bicarbonat;100
19230-2;110786;Bicarbonat Standard arteriellem Blut;P Bicarbonat;91
19230-2;110806;Bicarbonat Standard arteriellem Blut;P Bicarbonat;91
59470-5;102721;Calcium.ionisiert arteriellem Blut;Calcium;100
59470-5;102743;Calcium.ionisiert arteriellem Blut;Calcium;100
59470-5;103054;Calcium.ionisiert arteriellem Blut;Calcium;100
25793-1;108510;Thyroxin (T4) frei Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
57663-7;108510;Noradrenalin Plasma -- Stimulation;Atmung Stimulation;76
56504-4;108510;Corticotropin Plasma Minuten Stimulation;Atmung Stimulation;76
19211-2;100808;Sauerstoff gemischt-venösem Blut;Sauerstoff;100
19211-2;101481;Sauerstoff gemischt-venösem Blut;Sauerstoff;100
19211-2;102942;Sauerstoff gemischt-venösem Blut;G5 Sauerstoff;87
19211-2;104804;Sauerstoff gemischt-venösem Blut;MS C2 Sauerstoff;77
19211-2;104808;Sauerstoff gemischt-venösem Blut;C2 Sauerstoff;87
19211-2;106641;Sauerstoff gemischt-venösem Blut;T1 Sauerstoff;87
19211-2;107811;Sauerstoff gemischt-venösem Blut;Sauerstoff;100
19211-2;107980;Sauerstoff gemischt-venösem Blut;P C3 Sauerstoff;80
19211-2;108012;Sauerstoff gemischt-venösem Blut;P MS C3 Sauerstoff;71
19211-2;110866;Sauerstoff gemischt-venösem Blut;Heimbeatmung Sauerstoff;61
34916-7;103064;Plasmazellenvorläufer Blut;BM25 Plasmavolumen;60
34916-7;103067;Plasmazellenvorläufer Blut;BM25 Plasmavolumen;60
25721-2;104833;Mianserin Serum Plasma;Apherese Plasma;65
25721-2;104834;Mianserin Serum Plasma;Apherese Plasma;65
25721-2;104846;Mianserin Serum Plasma;Apherese Plasma;65
16911-0;108510;Glucose Urin . Probenmaterial Stimulation;Atmung Stimulation;76
11558-4;110796;pH Blut;P Blutfluss;67
11558-4;117163;pH Blut;P Blutfluss;67
5964-2;100203;Prothrombinzeit (PT) Blut Gerinnungstest;PT;100
5964-2;100676;Prothrombinzeit (PT) Blut Gerinnungstest;PT;100
19176-7;104833;Alpha-1-Fetoprotein Serum Plasma;Apherese Plasma;64
19176-7;104834;Alpha-1-Fetoprotein Serum Plasma;Apherese Plasma;64
19176-7;104846;Alpha-1-Fetoprotein Serum Plasma;Apherese Plasma;64
41726-1;106777;ABT492;ABP2;60
6035-0;108675;Musa spp IgE-Antikörper Serum;P Antikoerper Mutter;67
25576-0;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
14620-9;102113;Aussehen Pleuraflüssigkeit;Mess PatFluessigkeitRate;61
50502-4;108157;Insulin Serum Plasma . Probenmaterial;Insulin ja;82
50502-4;108158;Insulin Serum Plasma . Probenmaterial;Insulin nein;74
18221-2;108510;Adrenalin Urin . Probenmaterial Stimulation;Atmung Stimulation;76
25619-8;108510;Cortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
12937-9;108510;Thyreotropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
79-4;107861;Cefixim minimaler letaler Konzentration (MLK);O2 Konzentration;90
79-4;107864;Cefixim minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
79-4;107867;Cefixim minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
1704-6;104833;Acetoacetat Serum Plasma;Apherese Plasma;62
1704-6;104834;Acetoacetat Serum Plasma;Apherese Plasma;62
1704-6;104846;Acetoacetat Serum Plasma;Apherese Plasma;62
44016-4;102699;Galle Körperflüssigkeit;Dialysierfluessigke;60
2277-2;108281;Ferrochelatase Serum;Fruchtwasser;62
12821-5;108510;Progesteron Serum Plasma Minuten Stimulation;Atmung Stimulation;76
51834-0;104273;Tryptase Serum Plasma;Servoi Tpause s;61
51834-0;104833;Tryptase Serum Plasma;Apherese Plasma;61
51834-0;104834;Tryptase Serum Plasma;Apherese Plasma;61
51834-0;104846;Tryptase Serum Plasma;Apherese Plasma;61
35664-2;106365;Ethanol Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
35664-2;106366;Ethanol Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
35664-2;110899;Ethanol Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
35664-2;110900;Ethanol Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
12902-3;108510;Renin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
1996-8;102721;Calcium Blut;Calcium;100
1996-8;102743;Calcium Blut;Calcium;100
1996-8;103054;Calcium Blut;Calcium;100
1996-8;107934;Calcium Blut;P ADS MS ADS Calcium postFilter;74
1996-8;107935;Calcium Blut;P ADS MS ADS Calcium preFilter;74
17845-9;104833;Lipoprotein.alpha Serum Plasma;Apherese Plasma;62
17845-9;104834;Lipoprotein.alpha Serum Plasma;Apherese Plasma;62
17845-9;104846;Lipoprotein.alpha Serum Plasma;Apherese Plasma;62
32125-7;104833;Propoxyphen Serum Plasma;Apherese Plasma;62
32125-7;104834;Propoxyphen Serum Plasma;Apherese Plasma;62
32125-7;104846;Propoxyphen Serum Plasma;Apherese Plasma;62
257-6;107861;Framycetin minimaler letaler Konzentration (MLK);O2 Konzentration;90
257-6;107864;Framycetin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
257-6;107867;Framycetin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
2284-8;104833;Folat Serum Plasma;Apherese Plasma;61
2284-8;104834;Folat Serum Plasma;Apherese Plasma;61
2284-8;104846;Folat Serum Plasma;Apherese Plasma;61
55561-5;104833;Oxprenolol Serum Plasma;Apherese Plasma;63
55561-5;104834;Oxprenolol Serum Plasma;Apherese Plasma;63
55561-5;104846;Oxprenolol Serum Plasma;Apherese Plasma;63
32222-2;102699;Alanin Körperflüssigkeit;Dialysierfluessigke;63
22671-2;104833;Phytanat Serum Plasma;Apherese Plasma;61
22671-2;104834;Phytanat Serum Plasma;Apherese Plasma;61
22671-2;104846;Phytanat Serum Plasma;Apherese Plasma;61
14165-5;102107;Lactat Körperflüssigkeit;PatFluessigkeitRate;63
507-4;107861;Tobramycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
507-4;107864;Tobramycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
507-4;107867;Tobramycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
57645-4;108510;C-Peptid Serum Plasma Minuten Stimulation;Atmung Stimulation;76
54368-6;104833;Katalase Plasma;Apherese Plasma;67
54368-6;104834;Katalase Plasma;Apherese Plasma;67
54368-6;104846;Katalase Plasma;Apherese Plasma;67
14642-3;104833;Carotin Serum Plasma;Apherese Plasma;63
14642-3;104834;Carotin Serum Plasma;Apherese Plasma;63
14642-3;104846;Carotin Serum Plasma;Apherese Plasma;63
54366-0;102721;Calcium.ionisiert pH ,4 Nabelschnurblut;Calcium;100
54366-0;102743;Calcium.ionisiert pH ,4 Nabelschnurblut;Calcium;100
54366-0;103054;Calcium.ionisiert pH ,4 Nabelschnurblut;Calcium;100
41609-9;108510;Prolaktin Serum Plasma Stunde Stimulation;Atmung Stimulation;76
25570-3;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2106-3;106665;Choriongonadotropin (Schwangerschaftstest) Urin;Schwangerschaftstest durchgefuehrt;74
2106-3;108128;Choriongonadotropin (Schwangerschaftstest) Urin;P Schwangerschaft String;64
172-7;107861;Chloramphenicol minimaler letaler Konzentration (MLK);O2 Konzentration;90
172-7;107864;Chloramphenicol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
172-7;107867;Chloramphenicol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
13057-5;102690;Thrombozyten Dialysat;Dialysatloesung;61
13057-5;102755;Thrombozyten Dialysat;Dialysat;100
13057-5;102897;Thrombozyten Dialysat;Dialysatfiltrate;65
13057-5;103043;Thrombozyten Dialysat;Dialysat;100
13057-5;103045;Thrombozyten Dialysat;BM25 Dialysat;76
13057-5;103123;Thrombozyten Dialysat;Dialysat;100
13057-5;103124;Thrombozyten Dialysat;BM25 Dialysat;76
13057-5;104978;Thrombozyten Dialysat;CRRT Dialysat;76
13057-5;104999;Thrombozyten Dialysat;CRRT Dialysat;76
17575-2;104252;Serin Urin;Servoi Ti;63
17575-2;104280;Serin Urin;Servoi Ti;63
29246-6;102107;Lactat Körperflüssigkeit;PatFluessigkeitRate;63
56556-4;108510;11-Desoxycorticosteron Serum Plasma Minuten Stimulation;Atmung Stimulation;76
29553-5;106739;- Berechnet;CO Bericht;63
13092-2;108675;Endomysium Antikörper Serum;P Antikoerper Mutter;61
51617-9;102106;Farbe Dialysat;Dialysatfluß;72
51617-9;102114;Farbe Dialysat;Mess Dialysatfluß;67
51617-9;102666;Farbe Dialysat;Mess DialyseZeit;60
51617-9;102690;Farbe Dialysat;Dialysatloesung;62
51617-9;102755;Farbe Dialysat;Dialysat;100
51617-9;102897;Farbe Dialysat;Dialysatfiltrate;73
51617-9;103043;Farbe Dialysat;Dialysat;100
51617-9;103045;Farbe Dialysat;BM25 Dialysat;76
51617-9;103123;Farbe Dialysat;Dialysat;100
51617-9;103124;Farbe Dialysat;BM25 Dialysat;76
51617-9;104913;Farbe Dialysat;Dialyse Zeit;62
51617-9;104978;Farbe Dialysat;CRRT Dialysat;76
51617-9;104999;Farbe Dialysat;CRRT Dialysat;76
51617-9;107787;Farbe Dialysat;Doku Aussehen Dialysat;73
51617-9;107790;Farbe Dialysat;Doku Dialysat1;64
51617-9;107791;Farbe Dialysat;Doku Dialysat2;64
51617-9;107802;Farbe Dialysat;Dialysat1;70
51617-9;107803;Farbe Dialysat;Dialysat2;70
33311-2;104833;Porphyrine Serum Plasma;Apherese Plasma;68
33311-2;104834;Porphyrine Serum Plasma;Apherese Plasma;68
33311-2;104846;Porphyrine Serum Plasma;Apherese Plasma;68
18376-4;102596;Natrium -Stunden-Urin;Natrium;100
18376-4;102638;Natrium -Stunden-Urin;Mess Natrium;74
18376-4;102676;Natrium -Stunden-Urin;Natrium;100
18376-4;103167;Natrium -Stunden-Urin;MS Natrium;82
18376-4;103226;Natrium -Stunden-Urin;Natrium;100
18376-4;103242;Natrium -Stunden-Urin;Natrium;100
15113-4;102755;Aluminium Dialysat;Dialysat;100
15113-4;103043;Aluminium Dialysat;Dialysat;100
15113-4;103045;Aluminium Dialysat;BM25 Dialysat;76
15113-4;103123;Aluminium Dialysat;Dialysat;100
15113-4;103124;Aluminium Dialysat;BM25 Dialysat;76
15113-4;103835;Aluminium Dialysat;ILA GasflussMin;61
15113-4;104978;Aluminium Dialysat;CRRT Dialysat;76
15113-4;104999;Aluminium Dialysat;CRRT Dialysat;76
15113-4;107787;Aluminium Dialysat;Doku Aussehen Dialysat;65
30359-4;108675;Histon Antikörper Serum;P Antikoerper Mutter;62
2148-5;104833;Creatin Serum Plasma;Apherese Plasma;63
2148-5;104834;Creatin Serum Plasma;Apherese Plasma;63
2148-5;104846;Creatin Serum Plasma;Apherese Plasma;63
18997-7;102884;Trimethoprim;RiseTime;60
32050-7;104833;Barbital Serum Plasma;Apherese Plasma;61
32050-7;104834;Barbital Serum Plasma;Apherese Plasma;61
32050-7;104846;Barbital Serum Plasma;Apherese Plasma;61
44582-5;102128;IgA Haut Immunfluoreszenztest;Kopf Haut;62
44582-5;102142;IgA Haut Immunfluoreszenztest;Haut;100
15164-7;107985;Komplement C3 Synovialflüssigkeit;P C3;67
15164-7;107992;Komplement C3 Synovialflüssigkeit;P C3;67
15164-7;108010;Komplement C3 Synovialflüssigkeit;P C3;67
15164-7;110828;Komplement C3 Synovialflüssigkeit;P C3;67
15164-7;110831;Komplement C3 Synovialflüssigkeit;P C3;67
47263-9;108510;Adenosinmonophosphat.zyklisch Urin . Probenmaterial Stimulation;Atmung Stimulation;76
34163-6;100802;Sauerstoffgehalt Blut;SauerstoffFlow;63
34163-6;100808;Sauerstoffgehalt Blut;Sauerstoff;65
34163-6;101439;Sauerstoffgehalt Blut;SauerstoffFlow;63
34163-6;101481;Sauerstoffgehalt Blut;Sauerstoff;65
34163-6;102074;Sauerstoffgehalt Blut;SauerstoffFlow;63
34163-6;102922;Sauerstoffgehalt Blut;SauerstoffVolG5;61
34163-6;102942;Sauerstoffgehalt Blut;G5 Sauerstoff;65
34163-6;104808;Sauerstoffgehalt Blut;C2 Sauerstoff;65
34163-6;106641;Sauerstoffgehalt Blut;T1 Sauerstoff;65
34163-6;107811;Sauerstoffgehalt Blut;Sauerstoff;65
34163-6;107980;Sauerstoffgehalt Blut;P C3 Sauerstoff;61
10535-3;103145;Digoxin Serum Plasma;Doku Plasmalösung;61
33818-6;108157;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
33818-6;108158;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
33818-6;108510;Insulin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
3952-9;104833;Phenothiazine Serum Plasma;Apherese Plasma;63
3952-9;104834;Phenothiazine Serum Plasma;Apherese Plasma;63
3952-9;104846;Phenothiazine Serum Plasma;Apherese Plasma;63
47862-8;108157;Insulin Serum Plasma --postprandial;Insulin ja;82
47862-8;108158;Insulin Serum Plasma --postprandial;Insulin nein;74
47-1;107861;Bacampicillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
47-1;107864;Bacampicillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
47-1;107867;Bacampicillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
41645-3;102721;Calcium.ionisiert venösem Blut;Calcium;100
41645-3;102743;Calcium.ionisiert venösem Blut;Calcium;100
41645-3;103054;Calcium.ionisiert venösem Blut;Calcium;100
50209-6;106365;Albumin Urin gesammelt Zeitraum --liegend;G5 SBT Zeitraum;70
50209-6;106366;Albumin Urin gesammelt Zeitraum --liegend;G5 SBT Zeitraum;70
50209-6;110899;Albumin Urin gesammelt Zeitraum --liegend;P C3 SBT Zeitraum;64
50209-6;110900;Albumin Urin gesammelt Zeitraum --liegend;P C3 SBT Zeitraum;64
24032-5;102585;Rifabutin Serum Plasma;Plasmarate;62
27968-7;108510;Pyruvat Blut Stunden Stimulation;Atmung Stimulation;76
32347-7;104833;Xylose Serum Plasma;Apherese Plasma;65
32347-7;104834;Xylose Serum Plasma;Apherese Plasma;65
32347-7;104846;Xylose Serum Plasma;Apherese Plasma;65
29762-2;108256;Sozialanamnese - Freitext;F Sozialanamnese Klasse;76
29762-2;108257;Sozialanamnese - Freitext;F Sozialanamnese;93
29762-2;108258;Sozialanamnese - Freitext;F Sozialanamnese;93
29762-2;108259;Sozialanamnese - Freitext;F Sozialanamnese;93
29762-2;108260;Sozialanamnese - Freitext;F Sozialanamnese Sonstiges;76
3734-1;104833;Maprotilin Serum Plasma;Apherese Plasma;63
3734-1;104834;Maprotilin Serum Plasma;Apherese Plasma;63
3734-1;104846;Maprotilin Serum Plasma;Apherese Plasma;63
44-8;107867;Aztreonam minimaler Hemmkonzentration (MHK);Atom O2 Konzentration;61
57587-8;108510;Aldosteron Serum Plasma Stunden Stimulation;Atmung Stimulation;76
15072-2;104833;Gastrin Serum Plasma;Apherese Plasma;63
15072-2;104834;Gastrin Serum Plasma;Apherese Plasma;63
15072-2;104846;Gastrin Serum Plasma;Apherese Plasma;63
107-3;107861;Cefotaxim minimaler letaler Konzentration (MLK);O2 Konzentration;90
