9271-8	10M Apgar Score
61151-7	Albumin SerPl BCG-mCnc
62235-7	Albumin SerPl BCG-sCnc
61152-5	Albumin SerPl BCP-mCnc
62234-0	Albumin SerPl BCP-sCnc
2862-1	Albumin SerPl Elph-mCnc
1751-7	Albumin SerPl-mCnc
54347-0	Albumin SerPl-sCnc
1750-9	Albumin Smn-mCnc
10558-5	Albumin Smn-sCnc
1752-5	Albumin Snv-mCnc
32293-3	Albumin Spec-mCnc
54346-2	Albumin Stl-mCnc
50209-6	Albumin sup ?Tm Ur-mRate
17819-4	Albumin ?Tm MFr Ur Elph
6942-7	Albumin Ur Elph-mCnc
1754-1	Albumin Ur-mCnc
1753-3	Albumin Ur Ql
50949-7	Albumin Ur Ql Strip
44801-9	Aldolase Plr-cCnc
2299-6	Aldolase RBC-cCnc
1761-6	Aldolase SerPl-cCnc
56558-0	Aldost 10M p chal SerPl-mCnc
56578-8	Aldost 1.5h p chal SerPl-mCnc
57588-6	Aldost 15M p chal SerPl-mCnc
31992-1	Aldost 24h Ur-mCnc
1765-7	Aldost 24h Ur-mRate
25845-9	Aldost 24h Ur-sCnc
14587-0	Aldost 24h Ur-sRate
57587-8	Aldost 2h p chal SerPl-sCnc
57594-4	Aldost 30M pre chal SerPl-sCnc
1762-4	Aldost Bld-mCnc
1734-3	Aldost Cl 24h Ur+SerPl-vRate
34231-1	Aldost/Creat Ur-sRto
1763-2	Aldost SerPl-mCnc
92896-0	Aldost SerPl RIA-mCnc
14586-2	Aldost SerPl-sCnc
1767-3	Aldost sup SerPl-mCnc
15011-0	Aldost sup SerPl-sCnc
1768-1	Aldost upr SerPl-mCnc
15012-8	Aldost upr SerPl-sCnc
1764-0	Aldost Ur-mCnc
15010-2	Aldost Ur-sCnc
3307-6	Alfentanil SerPl-mCnc
16334-5	Alfentanil Ur-mCnc
11159-1	Alkalase IgE Qn
15525-9	Alkalase IgE RAST Ql
48765-2	Allergies &or adverse reactions Doc
22658-9	Alloisoleucine CSF-sCnc
22670-4	Alloisoleucine SerPl-sCnc
22730-6	Alloisoleucine Spec-sCnc
9736-0	Allopurinol SerPl-mCnc
7069-8	Allspice IgE Qn
15526-7	Allspice IgE RAST Ql
4-2	Almecillin Islt KB
3-4	Almecillin Islt MIC
39542-6	Almond IgE/IgE total %
6019-4	Almond IgE Qn
15527-5	Almond IgE RAST Ql
7070-6	Almond IgG Qn
21063-3	Almond IgG RAST Ql
7072-2	Almond Tree IgE Qn
15528-3	Almond Tree IgE RAST Ql
1783-0	ALP Bld-cCnc
15013-6	ALP Bone CFr SerPl
1777-2	ALP Bone SerPl-cCnc
17838-4	ALP Bone SerPl-mCnc
15148-0	ALP Fld-cCnc
13984-0	Alpha1 Glob 24h MFr Ur Elph
35708-7	Alpha1 Glob 24h Ur Elph-mCnc
2864-7	Alpha1 Glob CSF Elph-mCnc
17496-1	Alpha1 Glob Fld Elph-mCnc
13972-5	Alpha1 Glob MFr CSF Elph
17812-9	Alpha1 Glob MFr Fld Elph
13978-2	Alpha1 Glob MFr SerPl Elph
13990-7	Alpha1 Glob MFr Ur Elph
2865-4	Alpha1 Glob SerPl Elph-mCnc
9734-5	Alpha1 Glob Ur Elph-mCnc
22064-0	Alpha1 Glob Ur-mCnc
2867-0	Alpha2 Glob CSF Elph-mCnc
17497-9	Alpha2 Glob Fld Elph-mCnc
13975-8	Alpha2 Glob MFr CSF Elph
17814-5	Alpha2 Glob MFr Fld Elph
13981-6	Alpha2 Glob MFr SerPl Elph
13993-1	Alpha2 Glob MFr Ur Elph
2868-8	Alpha2 Glob SerPl Elph-mCnc
17813-7	Alpha2 Glob ?Tm MFr Ur Elph
38190-5	Alpha2 Glob Ur Elph-mCnc
6888-2	Alpha2 Glob Ur-mCnc
15014-4	ALP Intest CFr SerPl
1778-0	ALP Intest SerPl-cCnc
40794-0	ALP Intest SerPl Ql
24332-9	ALP Iso Pnl SerPl
14588-8	ALP Isos SerPl-Imp
49243-9	ALP Isos SerPl-Imp
15348-6	ALP Liver 1 CFr SerPl
13874-3	ALP Liver 1 SerPl-cCnc
15349-4	ALP Liver 2 CFr SerPl
13875-0	ALP Liver 2 SerPl-cCnc
15015-1	ALP Liver CFr SerPl
1779-8	ALP Liver SerPl-cCnc
43939-8	ALP Liver SerPl Ql
49924-4	ALP macro CFr SerPl
26010-9	ALP Other CFr SerPl
15016-9	ALP Plac CFr SerPl
1780-6	ALP Plac SerPl-cCnc
40410-3	ALP Prt-cCnc
29348-0	Alpraz Gast-mCnc
14591-2	Alpraz SerPl-sCnc
48938-5	Alpraz Spec-mCnc
3313-4	Alpraz Ur-mCnc
15017-7	ALP Regan CFr SerPl
1781-4	ALP Regan SerPl-cCnc
6768-6	ALP SerPl-cCnc
16337-8	ALP Ur-cCnc
16325-3	ALT/AST SerPl-cRto
76625-3	ALT Bld-cCnc
25302-1	ALT Fld-cCnc
48134-1	ALT Macro SerPl-cCnc
54492-4	ALT Plr-cCnc
16324-6	ALT RBC-cCnc
1742-6	ALT SerPl-cCnc
1744-2	ALT SerPl w/o P-5'-P-cCnc
1743-4	ALT SerPl w P-5'-P-cCnc
44435-6	A lumbrica adult IgG Ser IA-aCnc
7806-3	A lumbric Ab Ser-aCnc
5049-2	A lumbric Ab Ser IA-aCnc
21075-7	A lumbric IgE Qn
41161-1	A lumbric IgG Ser-aCnc
40608-2	A lumbric IgM Ser IA-aCnc
44436-4	A lumbric larva IgG Ser IA-aCnc
6929-4	Aluminum 24h Ur-mCnc
26707-0	Aluminum 24h Ur-mRate
14592-0	Aluminum 24h Ur-sCnc
32295-8	Aluminum 24h Ur-sRate
82463-1	Aluminum Bld-sCnc
52943-8	Aluminum/Creat Ur-sRto
27264-1	Aluminum CSF-mCnc
80127-4	Aluminum CSF-sCnc
5572-3	Aluminum Dial fld-mCnc
15113-4	Aluminum Dial fld-sCnc
16349-3	Aluminum Fld-mCnc
80126-6	Aluminum Fld-sCnc
5573-1	Aluminum Hair-mCnt
50801-0	Aluminum Hair-sCnt
5575-6	Aluminum RBC-mCnc
47096-3	Aluminum RBC-sCnc
5574-9	Aluminum SerPl-mCnc
14593-8	Aluminum SerPl-sCnc
80125-8	Aluminum Tiss-mCnt
52892-7	Aluminum Tiss-sCnt
30926-0	Aluminum ?Tm Ur-mCnc
5577-2	Aluminum Ur-mCnc
52915-6	Aluminum Ur-sCnc
9462-3	Aluminum Wat-mCnc
1818-4	A-Mannosidase SerPl-cCnc
24053-1	A-Mannosidase WBC-cCnt
9-1	Amdinocillin Islt KB
8-3	Amdinocillin Islt MIC
6038-4	Amer Beech IgE Qn
15571-3	Amer Beech IgE RAST Ql
56171-2	Amer Beech IgG4-mCnc
30170-5	Amer Roach IgE Qn
49079-7	Amer Roach IgE RAST Ql
25177-7	Amikacin 12 ug/mL Islt SlowMyco
48169-7	Amikacin 1.5 ug/mL Islt SlowMyco
25175-1	Amikacin 16 ug/mL Islt SlowMyco
60564-2	Amikacin 1 ug/mL Islt SlowMyco
42642-9	Amikacin 2 ug/mL Islt SlowMyco
25178-5	Amikacin 30 ug/mL Islt SlowMyco
25176-9	Amikacin 32 ug/mL Islt SlowMyco
60565-9	Amikacin 4 ug/mL Islt SlowMyco
25179-3	Amikacin 6 ug/mL Islt SlowMyco
25174-4	Amikacin 8 ug/mL Islt SlowMyco
17798-0	Amikacin CSF-mCnc
4115-2	Amikacin Dose
89484-0	Amikacin Islt Genotyp
6975-7	Amikacin Islt Grad strip
13-3	Amikacin Islt KB
12-5	Amikacin Islt MIC
11-7	Amikacin Islt MLC
20373-7	Amikacin Islt SlowMyco
3319-1	Amikacin Peak SerPl-mCnc
50802-8	Amikacin Peak SerPl-sCnc
35669-1	Amikacin SerPl-mCnc
56628-1	Amikacin SerPl-sCnc
18860-7	Amikacin Susc Islt
14-1	Amikacin Titr SBT
3321-7	Amikacin Trough SerPl-mCnc
34397-0	Amilsulpride SerPl-mCnc
49303-1	Amino acid Pat CSF-Imp
13500-4	Amino acid Pat SerPl-Imp
32296-6	Amino acid Pat Ur-Imp
49248-8	Amino acid Pat Ur-Imp
32611-6	Amino acids Amn-sCnc
12177-2	Amino acids/Creat Ur-Rto
34616-3	Amino acids CSF
32610-8	Amino acids CSF-sCnc
32609-0	Amino acids Fld-sCnc
35509-9	Amino acids Pnl 24h Ur-sRate
35508-1	Amino acids Pnl Amn-sCnc
35507-3	Amino acids Pnl CSF-sCnc
35083-5	Amino acids Pnl SerPl-sCnc
35087-6	Amino acids Pnl Ur
12176-4	Amino acids SerPl-sCnc
12467-7	Amino acids Ur
89490-7	Aminoglycoside Islt Genotyp
100041-3	Aminoglycoside Susc Islt
29207-8	Amiodarone Fld-mCnc
40755-1	Amiodarone Peak SerPl-mCnc
3330-8	Amiodarone SerPl-mCnc
15099-5	Amiodarone SerPl-sCnc
40411-1	Amitrip Gast Ql
3333-2	Amitrip SerPl-mCnc
3332-4	Amitrip SerPl Ql
14597-9	Amitrip SerPl-sCnc
16114-1	Amitrip Ur-mCnc
16225-5	Amitrip Ur Ql Cfm
19331-8	Amitrip Ur Ql Scn
28064-4	amLODIPine SerPl-mCnc
25850-9	Ammonia 24h Ur-sCnc
32664-5	Ammonia Bld-mCnc
1839-0	Ammonia Bld-sCnc
1840-8	Ammonia CSF-sCnc
54349-6	Ammonia Dial fld-mCnc
15149-8	Ammonia Fld-sCnc
22763-7	Ammonia Plas-mCnc
16362-6	Ammonia Plas-sCnc
20682-1	Ammonia Ur-mCnc
1842-4	Ammonia Ur-sCnc
25144-7	Amm Urate Cry #/area UrnS HPF
5766-1	Amm Urate Cry UrnS Ql Micro
4121-0	Amobarbital Dose
3338-1	Amobarbital SerPl-mCnc
32049-9	Amobarbital Spec Ql
16239-6	Amobarbital Ur Cfm-mCnc
11230-0	Amobarbital Ur-mCnc
3339-9	Amobarbital Ur Ql
87998-1	Amoeba Stl Wet Prep
55368-5	Amorph Cry #/area UrnS HPF
53331-5	Amorph Cry # Ur Comp Assist
53329-9	Amorph Cry Ur Ql Comp Assist
32145-5	Amorph Phos Cry #/area UrnS HPF
12453-7	Amorph Phos Cry UrnS Ql Micro
50236-9	Amorph Phos Cry Ur Ql Comp Assist
8246-1	Amorph Sed UrnS Ql Micro
32150-5	Amorph Urate Cry #/area UrnS HPF
13657-2	Amorph Urate Cry # UrnS
12454-5	Amorph Urate Cry UrnS Ql Micro
50239-3	Amorph Urate Cry Ur Ql Comp Assist
3341-5	Amoxapine SerPl-mCnc
3343-1	Amoxapine Ur-mCnc
6977-3	Amoxicillin+Clav Islt Grad strip
21-6	Amoxicillin+Clav Islt KB
20-8	Amoxicillin+Clav Islt MIC
19-0	Amoxicillin+Clav Islt MLC
25310-4	Amoxicillin+Clav Islt SlowMyco
18862-3	Amoxicillin+Clav Susc Islt
22-4	Amoxicillin+Clav Titr SBT
6829-6	Amoxicillin IgE Qn
15532-5	Amoxicillin IgE RAST Ql
6976-5	Amoxicillin Islt Grad strip
17-4	Amoxicillin Islt KB
16-6	Amoxicillin Islt MIC
15-8	Amoxicillin Islt MLC
3344-9	Amoxicillin SerPl-mCnc
55615-9	Amoxicillin+Sulbactam Islt Grad strip
55616-7	Amoxicillin+Sulbactam Islt KB
55614-2	Amoxicillin+Sulbactam Susc Islt
18861-5	Amoxicillin Susc Islt
18-2	Amoxicillin Titr SBT
85841-5	AmpC blaACC gene Islt/Spm Ql
85842-3	AmpC blaACT+blaMIR genes Islt/Spm Ql
93699-7	AmpC blaCMY-2 gene Islt/Spm Ql
85822-5	AmpC blaCMY+blaMOX genes Islt/Spm Ql
93700-3	AmpC blaDHA gene Islt/Spm Ql
85843-1	AmpC blaFOX gene Islt/Spm Ql
51690-6	Amphetamines Bld Ql Scn
8140-6	Amphetamines Gast Ql
40529-0	Amphetamines Hair Ql
8146-3	Amphetamines Mec Ql Scn
8147-1	Amphetamines SerPl-mCnc
8149-7	Amphetamines SerPl Ql Scn
12350-5	Amphetamines Stl Ql
8150-5	Amphetamines Ur-mCnc
3349-8	Amphetamines Ur Ql
19261-7	Amphetamines Ur Ql Scn
27205-4	Amphetamines Vitf Ql
40419-4	Amphet+Methamphet Ur Ql
33280-9	Amphet+Methamphet Ur Scn-mCnc
4126-9	Amphotericin B Dose
6978-1	Amphotericin B Islt Grad strip
25-7	Amphotericin B Islt KB
24-0	Amphotericin B Islt MIC
23-2	Amphotericin B Islt MLC
3354-8	Amphotericin B SerPl-mCnc
18863-1	Amphotericin B Susc Islt
26-5	Amphotericin B Titr SBT
4127-7	Ampicillin Dose
6712-4	Ampicillin IgE Qn
15533-3	Ampicillin IgE RAST Ql
34234-5	Ampicillin IgG Qn
7078-9	Ampicillin IgM Qn
6979-9	Ampicillin Islt Grad strip
29-9	Ampicillin Islt KB
28-1	Ampicillin Islt MIC
27-3	Ampicillin Islt MLC
33562-0	Ampicillin Peak SerPl-mCnc
6980-7	Ampicillin+Sulbac Islt Grad strip
33-1	Ampicillin+Sulbac Islt KB
32-3	Ampicillin+Sulbac Islt MIC
31-5	Ampicillin+Sulbac Islt MLC
20374-5	Ampicillin+Sulbac Islt SlowMyco
18865-6	Ampicillin+Sulbac Susc Islt
34-9	Ampicillin+Sulbac Titr SBT
18864-9	Ampicillin Susc Islt
30-7	Ampicillin Titr SBT
31028-4	Amprenavir SerPl-mCnc
30299-2	Amprenavir Susc Islt
17841-8	Amylase 12h Ur-cRate
25311-2	Amylase 24h Ur-cCnc
1800-2	Amylase 24h Ur-cRate
76630-3	Amylase Bld-cCnc
34235-2	Amylase/Creat Ur-Rto
14390-9	Amylase Dial fld-cCnc
1794-7	Amylase Duod fl-cCnc
1795-4	Amylase Fld-cCnc
49927-7	Amylase Fld/SerPl
14391-7	Amylase Gast-cCnc
7073-0	Amylase IgE Qn
51566-8	Amylase IgE RAST Ql
53134-3	Amylase Isos Fld-Imp
14589-6	Amylase Isos SerPl-Imp
25312-0	Amylase P CFr SerPl
48996-3	Amylase P Fld-cCnc
1797-0	Amylase Prt-cCnc
1805-1	Amylase P SerPl-cCnc
22749-6	Amylase P Ur-cCnc
25313-8	Amylase S CFr SerPl
1798-8	Amylase SerPl-cCnc
1799-6	Amylase Ur-cCnc
48498-0	Amyloid A SerPl-mCnc
53987-4	ANA atypic speckled Titr Ser IF
33915-0	Anabasine Ur-mCnc
53994-0	ANA centrosomal Ser Ql IF
53993-2	ANA centrosomal Titr Ser IF
53989-0	ANA chromosomal Titr Ser IF
53985-8	ANA coarse speckled Titr Ser IF
53002-2	ANA fine speckled Titr Ser IF
31540-8	ANA Fld-aCnc
13066-6	ANA Fld IF-aCnc
14607-6	ANA Fld Ql
54149-0	ANA Homogen Ser Ql IF
53983-3	ANA Homogen Titr Ser IF
54154-0	ANA intercell bridge Ser Ql IF
54155-7	ANA intercell bridge Titr Ser IF
34175-0	Analgesics SerPl
53999-9	ANA multiple nuclear dots Ser Ql IF
54000-5	ANA multiple nuclear dots Titr Ser IF
53997-3	ANA nuclear dots Ser Ql IF
53998-1	ANA nuclear dots Titr Ser IF
53995-7	ANA nuclear matrix Titr Ser IF
54005-4	ANA nuclear membrane pores Ser Ql IF
54006-2	ANA nuclear membrane pores Titr Ser IF
53991-6	ANA nucleolar Titr Ser IF
13068-2	ANA Pat Ser IF-Imp
14611-8	ANA Pat Ser-Imp
49310-6	ANA Pat Ser-Imp
31543-2	ANA Prt-aCnc
5047-6	ANA Ser IA-aCnc
47383-5	ANA Ser Ql IA
42254-3	ANA Ser Ql IF
31544-0	ANA Snv-aCnc
14610-0	ANA Snv Ql
14614-2	ANA Titr Plr
29953-7	ANA Titr Ser
33253-6	ANA Titr Ser HEp2 subst
40655-3	ANA Titr Ser IA
5048-4	ANA Titr Ser IF
21423-9	ANA Titr Ser IF Rat Liv
49308-0	ANCA Ab pattern Ser IF-Imp
21419-7	ANCA Ab pattern Ser IF-Imp
45151-8	ANCA Ab Ser IA-aCnc
5262-1	ANCA Ab Ser IF-aCnc
17352-6	ANCA Ab Ser-Imp
35279-9	ANCA Ab Ser Ql IF
17354-2	ANCA IgA Ser Ql
18330-1	ANCA IgG Ser-aCnc
29967-7	ANCA IgG Titr Ser IF
7079-7	Anchovy IgE Qn
15534-1	Anchovy IgE RAST Ql
24125-7	Androgen FAI SerPl-sRto
49327-0	Androst 1h p chal SerPl-mCnc
15028-4	Androst 24h Ur-sRate
1851-5	Androst Amn-mCnc
15026-8	Androstanediol SerPl-sCnc
1848-1	Androstanolone SerPl-mCnc
43826-7	Androstanolone SerPl Ql
15057-3	Androstanolone SerPl-sCnc
1849-9	Androstanolone Smn-mCnc
1854-9	Androst SerPl-mCnc
14603-5	Androst SerPl-sCnc
16384-0	Androst sp8 p chal SerPl-mCnc
11208-6	ANF Plas-mCnc
33783-2	ANF Plas-sCnc
1860-6	Angiotensin II Plas-mCnc
15032-6	Angiotensin II Plas-sCnc
51836-5	Angiotensin II upr Plas-mCnc
55343-8	Anidulafungin Islt MIC
31232-2	A niger Ab Fld Ql
5051-8	A niger Ab Ser-aCnc
10894-4	A niger Ab Ser Ql ID
27313-6	A niger Ab Titr Ser ID
6830-4	A niger IgE Qn
15550-7	A niger IgE RAST Ql
19727-7	A niger IgG Ser Ql
10466-1	Anion Gap3 SerPl-sCnc
1863-0	Anion Gap4 SerPl-sCnc
41276-7	Anion Gap Bld-sCnc
33037-3	Anion Gap SerPl-sCnc
10919-9	Anisakis IgE Qn
15535-8	Anisakis IgE RAST Ql
7081-3	Anise IgE Qn
15536-6	Anise IgE RAST Ql
51582-5	Anisochromasia Bld Ql Smear
38892-6	Anisocytosis Bld Ql
15150-6	Anisocytosis Bld Ql Auto
702-1	Anisocytosis Bld Ql Smear
25320-3	Anserine 24h Ur-sRate
26787-2	Anserine Amn-sCnc
28596-5	Anserine/Creat Ur-Rto
26588-4	Anserine CSF-sCnc
26599-1	Anserine SerPl-sCnc
57078-8	Antenatal testing & surveillance
32665-2	Anticonvulsants SerPl
38194-7	Antidepressants Gast
16389-9	Antidepressants SerPl
32136-4	Antidepressants Ur Ql
14097-0	Antimony 24h Ur-mRate
50808-5	Antimony 24h Ur-sCnc
51191-5	Antimony Fld-mCnc
27137-9	Antimony RBC-mCnt
5580-6	Antimony SerPl-mCnc
12702-7	Antimony SerPl Ql
25321-1	Antimony SerPl-sCnc
5581-4	Antimony Ur-mCnc
51583-3	Anulocytes Bld Ql Smear
29858-8	A-OH-Butyr/Creat Ur-sRto
1677-4	A-OH-Butyr Dehydrog SerPl-cCnc
18265-9	APAP Fld Ql
29389-4	APAP Gast Ql
3298-7	APAP SerPl-mCnc
3297-9	APAP SerPl Ql
14581-3	APAP SerPl-sCnc
3299-5	APAP Ur Ql
39456-9	APAP Ur-sCnc
20990-8	APC gene Mut Anl Bld/T
21618-4	APC gene Mut Tested Bld/T
13590-5	aPCR PPP
52750-7	aPCR PPP Ql
23877-4	A phagocytoph IgG Titr Ser IF
23878-2	A phagocytoph IgM Titr Ser IF
74214-8	Apixaban PPP Chro-mCnc
13462-7	Apo A-I/Apo B SerPl
56035-9	Apo A-I/HDLc SerPl
1878-8	Apo A-III SerPl-mCnc
1870-5	Apo A-II SerPl-mCnc
1869-7	Apo A-I SerPl-mCnc
76483-7	Apo A-I SerPl-sCnc
1874-7	Apo B/Apo A-I SerPl
1884-6	Apo B SerPl-mCnc
76482-9	Apo B SerPl-sCnc
1877-0	Apo C-III SerPl-mCnc
1879-6	Apo E2 SerPl-mCnc
21619-2	APOE gene Mut Anl Bld/T
34438-2	Apo E Phenotype Bld
1886-1	Apo E SerPl-mCnc
1881-2	Apo Lp(a) SerPl-mCnc
10333-3	Appearance CSF
57835-1	Appearance Dial fld
9335-1	Appearance Fld
14617-5	Appearance Pcar
14619-1	Appearance Plas
14620-9	Appearance Plr
14621-7	Appearance Prt
11158-3	Appearance Ser
39105-2	Appearance Skin
29605-3	Appearance Snv
33455-7	Appearance Spt
29636-8	Appearance Stl
5767-9	Appearance Ur
6021-0	Apple IgE Qn
15539-0	Apple IgE RAST Ql
7088-8	Apple IgG Qn
21072-4	Apple IgG RAST Ql
7090-4	Apple Tree IgE Qn
15540-8	Apple Tree IgE RAST Ql
56446-8	Appointment summary Doc
73653-8	Apramycin Islt KB
73652-0	Apramycin Islt MIC
7091-2	Apricot IgE Qn
15541-6	Apricot IgE RAST Ql
7092-0	Apricot IgG Qn
21073-2	Apricot IgG RAST Ql
1720-2	APRT RBC-cCnc
40110-9	aPTT 1D p chal PPP
5947-7	aPTT 20M NP Cont PPP
40101-8	aPTT 30M p chal PPP
48590-4	aPTT after addition of APC PPP
3173-2	aPTT Bld
16631-4	aPTT Bld 1:1 saline
16630-6	aPTT Cont Bld 1:1 saline
13488-2	aPTT Cont PPP
52751-5	aPTT-FS PPP
3282-1	aPTT Hex PL PPP
5949-3	aPTT imm NP Cont PPP
5946-9	aPTT imm NP PPP
34572-8	aPTT-LA Cont PPP
14979-9	aPTT PPP
43734-3	aPTT PPP 1:1 saline
52767-1	aPTTprotein C activator/aPTT PPP
52766-3	aPTT protein C activator+FV DP/aPTT PPP
75884-7	aPTT screen to confirm ratio
6029-3	A pullulans IgE Qn
15964-0	A pullulans IgE RAST Ql
31235-5	A pullulans IgG Qn
33276-7	A pullulans IgG RAST Ql
26955-5	A pullulans IgG Ser-mCnc
33572-9	A pullulans IgG Ser Ql
54173-0	Arbekacin Islt KB
53818-1	Arbekacin Islt MIC
32373-3	Arbekacin Susc Islt
44074-3	Arbovirus Ab Ser IF-Imp
36899-3	Arbovirus Ab Spec
6309-9	Arbovirus Bld Cult
53802-5	Arbovirus IgG Ser IF-Imp
43905-9	Arbovirus IgG Ser Ql
40584-5	Arbovirus IgM Ser Ql
74033-2	Arbovirus IgM Ser Ql IF
50034-8	Arbovirus NAb Spec Nt
26014-1	Arbovirus NOS Ab Titr Ser CF
74031-6	Arbovirus Ser IF
6310-7	Arbovirus Spec Cult
41621-4	Arenavirus RNA Spec Ql NAA+probe
68981-0	Argatroban PPP Chro-aCnc
1890-3	Arginase RBC-cCnc
25860-8	Arginine 24h Ur-sCnc
25322-9	Arginine 24h Ur-sRate
26985-2	Arginine Amn-sCnc
13708-3	Arginine/Creat Ur
30062-4	Arginine/Creat Ur-Rto
22697-7	Arginine/Creat Ur-sRto
22656-3	Arginine CSF-sCnc
43927-3	Arginine DBS Ql
20637-5	Arginine SerPl-sCnc
22727-2	Arginine Spec-sCnc
27296-3	Arginine Ur-sCnc
32228-9	Argininosuccinate Amn-sCnc
32229-7	Argininosuccinate/Creat Ur-Rto
29878-6	Argininosuccinate/Creat Ur-sRto
40838-5	Argininosuccinate CSF-sCnc
53062-6	Argininosuccinate DBS-sCnc
32227-1	Argininosuccinate SerPl-sCnc
1897-8	Argininosuccinate Ur-mCnc
27134-6	Argininosuccinate Ur Ql
11168-2	Arizona Cypress IgE Qn
15671-1	Arizona Cypress IgE RAST Ql
34245-1	Arsenic 24h Ur-sCnc
34244-4	Arsenic 24h Ur-sRate
5583-0	Arsenic Bld-mCnc
15114-2	Arsenic Bld-sCnc
50817-6	Arsenic/Creat 24h Ur-sRto
56652-1	Arsenic/Creat Ur-Rto
25324-5	Arsenic/Creat Ur-sRto
5584-8	Arsenic Hair-mCnt
46096-4	Arsenic Hair-sCnt
8157-0	Arsenic Nail-mCnt
50812-7	Arsenic RBC-sCnc
25323-7	Arsenic SerPl-sCnc
9366-6	Arsenic Spec-mCnt
43815-0	Arsenic Spec Ql
8158-8	Arsenic Tiss-mCnt
5586-3	Arsenic Ur-mCnc
15115-9	Arsenic Ur-sCnc
9463-1	Arsenic Wat-mCnc
42578-5	Artifact UrnS Ql Micro
1900-0	Arylamidase Ser-cCnc
1901-8	Arylsulfatase SerPl-cCnc
16407-9	Asbestos Spt Micro
6022-8	Ascaris IgE Qn
25325-2	Ascaris IgE Qn IA
15544-0	Ascaris IgE RAST Ql
6254-7	A siro IgE Qn
16035-8	A siro IgE RAST Ql
29208-6	ASO Ab Fld-aCnc
25788-1	ASO Ab Ser LA-aCnc
5370-2	ASO Ab SerPl-aCnc
9788-1	ASO Ab Ser Ql
17657-8	ASO Ab Snv-aCnc
22568-0	ASO Ab Titr Ser
25862-4	Asparagine 24h Ur-sCnc
25326-0	Asparagine 24h Ur-sRate
27089-2	Asparagine Amn-sCnc
56643-0	Asparagine/Creat 24h Ur-Rto
13710-9	Asparagine/Creat Ur
28603-9	Asparagine/Creat Ur-Rto
26577-7	Asparagine/Creat Ur-sRto
26603-1	Asparagine CSF-sCnc
20638-3	Asparagine SerPl-sCnc
27317-7	Asparagine Ur-sCnc
7099-5	Asparagus IgE Qn
15547-3	Asparagus IgE RAST Ql
25327-8	Aspartate 24h Ur-sRate
27256-7	Aspartate Amn-sCnc
56640-6	Aspartate/Creat 24h Ur-Rto
30061-6	Aspartate/Creat Ur-Rto
22691-0	Aspartate/Creat Ur-sRto
22655-5	Aspartate CSF-sCnc
32232-1	Aspartate Fld-sCnc
20639-1	Aspartate SerPl-sCnc
22723-1	Aspartate Spec-sCnc
26680-9	Aspartate Ur-sCnc
94713-5	Aspartylglycosamine CSF-sCnc
79589-8	Aspartylglycosamine SerPl-sCnc
7807-1	Aspergillus Ab Ser-aCnc
42766-6	Aspergillus Ab Ser ID-Imp
7808-9	Aspergillus Ab Ser Ql
5052-6	Aspergillus Ab Ser Ql ID
23953-3	Aspergillus Ab Titr CSF CF
22087-1	Aspergillus Ab Titr Ser
23660-4	Aspergillus Ab Titr Ser IA
43862-2	Aspergillus IgE RAST Ql
20688-8	Aspergillus Litter Cult
43979-4	Aspergillus Spec Cult
1916-6	AST/ALT SerPl-cRto
1917-4	AST Amn-cCnc
1918-2	AST CSF-cCnc
14414-7	AST Dial fld-cCnc
1919-0	AST Fld-cCnc
14412-1	AST Gast-cCnc
54500-4	AST Macro/AST.total CFr SerPl
48136-6	AST Macro SerPl-cCnc
14409-7	AST Plr-cCnc
14410-5	AST Prt-cCnc
16412-9	AST RBC-cCnc
1920-8	AST SerPl-cCnc
88112-8	AST SerPl w/o P-5'-P-cCnc
30239-8	AST SerPl w P-5'-P-cCnc
14411-3	AST Snv-cCnc
44786-2	AST (Study max) SerPl-cCnc
14413-9	AST Ur-cCnc
49668-7	Atazanavir Islt Phenotyp
41470-6	Atazanavir SerPl-mCnc
3362-1	Atenolol 24h Ur-mRate
4132-7	Atenolol Dose
3366-2	Atenolol SerPl-mCnc
3361-3	Atenolol Ur-mCnc
16416-0	A terreus Ab Qn
31234-8	A terreus Ab Ser Ql
6026-9	A terreus IgE Qn
21087-2	A terreus IgE RAST Ql
27811-9	AT III Act/Nor PPP Chro
27812-7	AT III Ag Act/Nor PPP IA
1868-9	AT III Ag PPP IA-mCnc
3177-3	AT III Ag PPP IA-sCnc
43869-7	AT III Ag PPP Ql IA
3174-0	AT III PPP Chro-aCnc
91120-6	AT III PPP Chromo.no added heparin
3176-5	AT III PPP Chro-sCnc
20991-6	AT III PPP-Imp
1823-4	A-Tocopherol Vit E SerPl-mCnc
14590-4	A-Tocopherol Vit E SerPl-sCnc
55618-3	Atovaquone Islt MIC
1729-3	ATPase RBC-cCnc
1730-1	ATPase Smn-cCnc
1721-0	ATP Bld-mCnc
56698-4	Atropine IgE Qn
3367-0	Atropine SerPl-mCnc
10840-7	Atropine Ur-mCnc
14184-6	Atropine Ur Ql
3074-2	A-Tumor Necrosis Fact SerPl-mCnc
34939-9	A-Tumor Necrosis Fact SerPl-sCnc
17358-3	Atyp ANCA Ser-aCnc
53012-1	Atyp ANCA Titr Ser IF
11281-3	Auer Bodies Bld Ql Smear
87243-2	Auramine stain Spec Ql
6032-7	Australian pine IgE Qn
31078-9	Australian pine IgE RAST Ql
56183-7	Australian pine IgG4-mCnc
15939-2	Austrian Pine IgE RAST Ql
